ConstituentID,DisplayName,Nationality,Gender
68836,ZJ Design,,
69622,Tulio Raggi,Cuban,Male
74165,Li Binyuan,Chinese,Male
69831,Studio Apartment,Japanese,
1783,Juanita (Jean) Exley,American,Female
7831,Gerd Bonfert,Romanian,Male
69650,Franceska Clausen,Danish,Female
37011,Herman Seidl,,
38198,Nyaniso Christopher Lindi,South African,Male
131789,Annie Lutjens,,Female
27736,Startloop AS,Norwegian,
38189,Tinus Boshoff,South African,Male
1271,Graham Coughtry,Canadian,Male
4126,Robert Motherwell,American,Male
211,Mordecai Ardon,Israeli,Male
24452,Sigurd Lewerentz,Swedish,Male
2982,John Kane,American,Male
802,Joan Brossa,Spanish,Male
4541,Amelia Peláez Del Casal,Cuban,Female
28574,Beth Brideau,American,Female
6514,Masunobu Yoshimura,Japanese,Male
3380,Louis Lanzano,American,Male
34944,Gus Van Sant,American,Male
23263,Erwan Bouroullec,French,Male
27006,"Herman Goelitz Candy Company; now Jelly Belly Candy Company, USA",,
3397,Oskar Laske,Austrian,Male
3291,Mikhail Kuprianov,Russian,Male
2276,Werner Graeff,German,Male
31057,Ernst Strouhal,,Male
8838,"Abalos&Herreros, Madrid",Spanish,
28527,"Bezalel Labs Research & Development, Bezalel Academy of Art and Design",Israeli,
7909,Valdir Cruz,Brazilian,Male
283,Olle Baertling,Swedish,Male
654,Bona,Italian,Female
31360,Pirmin Blum,Swiss,Male
22769,Guenther,,
47511,Richie Lee,,
2736,Takeichi Hotta,Japanese,Male
4856,Ad Reinhardt,American,Male
47019,Joy Division,British,
47466,Toshihiro Katayama,Japanese,Male
9010,"Necchi, S.p.A., Pavia, Italy",,
46033,Simon Denny,New Zealander,Male
7359,Basil Spence,British,Male
48591,John Oswald,,
2334,Hermann Gretsch,German,Male
10235,"Richard Süssmuth Glashütte, Immenhausen, Germany",,
2054,Gale,American,
45099,Pietro Roccasalva,,Male
79,Agam (Yaacov Agam),Israeli,Male
3568,Vera Lisková,Czech,Female
6627,Robert Gordy,American,Male
27162,Lee Etheredge IV,American,Male
8003,Hans Maier-Aichen,German,Male
35547,Koen Theys,Belgian,Male
530,Gianni Bertini,Italian,Male
9948,"Iroquois China Co., Syracuse, NY",,
3020,E. McKnight Kauffer,American,Male
48918,Paul Shaw,American,Male
75051,Ela Troyano,American,Female
47808,Jesus Fuck & Da Murderers,,
6946,Marcel Kunz,Swiss,Male
